"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-04-03	"XBB.1.5.2"	17	"1%"
2023-04-03	"XBB.1.5.20"	24	"1%"
2023-04-03	"XBB.1.5.30"	10	"1%"
2023-04-03	"XBB.1.5.31"	22	"1%"
2023-04-03	"XBB.1.5.32"	58	"3%"
2023-04-03	"XBB.1.5.37"	1	"0%"
2023-04-03	"XBB.1.5.39"	35	"2%"
2023-04-03	"XBB.1.5.4"	8	"0%"
2023-04-03	"XBB.1.5.47"	3	"0%"
2023-04-03	"XBB.1.5.48"	4	"0%"
2023-04-03	"XBB.1.5.49"	32	"2%"
2023-04-03	"XBB.1.5.50"	39	"2%"
2023-04-03	"XBB.1.5.67"	6	"0%"
2023-04-03	"XBB.1.5.69"	7	"0%"
2023-04-03	"XBB.1.5.7"	30	"2%"
2023-04-03	"XBB.1.5.73"	2	"0%"
2023-04-03	"XBB.1.5.77"	4	"0%"
2023-04-03	"XBB.1.9.1"	38	"2%"
2023-04-03	"XBB.1.9.2"	7	"0%"
2023-04-03	"XBB.2.3"	25	"1%"
2023-04-03	"XBB.2.3.2"	2	"0%"
2023-04-03	"XBB.2.3.3"	8	"0%"
2023-04-03	"XBF"	14	"1%"
2023-04-10	"BQ.1.1"	30	"1%"
2023-04-10	"CH.1.1"	13	"1%"
2023-04-10	"DV.1.1"	15	"1%"
2023-04-10	"EG.1"	9	"0%"
2023-04-10	"EG.5.2"	0	"0%"
2023-04-10	"EU.1.1"	2	"0%"
2023-04-10	"FD.1.1"	77	"4%"
2023-04-10	"FE.1.1.1"	23	"1%"
2023-04-10	"FL.13"	12	"1%"
2023-04-10	"FL.2"	5	"0%"
2023-04-10	"FL.4"	21	"1%"
2023-04-10	"FL.5"	7	"0%"
2023-04-10	"FT.1"	13	"1%"
2023-04-10	"other lineages"	365	"18%"
2023-04-10	"XBB.1.16"	64	"3%"
2023-04-10	"XBB.1.16.1"	13	"1%"
2023-04-10	"XBB.1.16.2"	12	"1%"
2023-04-10	"XBB.1.16.3"	1	"0%"
2023-04-10	"XBB.1.19.1"	1	"0%"
2023-04-10	"XBB.1.5"	799	"39%"
2023-04-10	"XBB.1.5.1"	30	"1%"
2023-04-10	"XBB.1.5.10"	1	"0%"
2023-04-10	"XBB.1.5.12"	12	"1%"
2023-04-10	"XBB.1.5.13"	20	"1%"
2023-04-10	"XBB.1.5.15"	9	"0%"
2023-04-10	"XBB.1.5.17"	30	"1%"
2023-04-10	"XBB.1.5.18"	6	"0%"
2023-04-10	"XBB.1.5.19"	4	"0%"
2023-04-10	"XBB.1.5.2"	23	"1%"
2023-04-10	"XBB.1.5.20"	36	"2%"
2023-04-10	"XBB.1.5.30"	10	"0%"
2023-04-10	"XBB.1.5.31"	9	"0%"
2023-04-10	"XBB.1.5.32"	67	"3%"
2023-04-10	"XBB.1.5.37"	6	"0%"
2023-04-10	"XBB.1.5.39"	22	"1%"
2023-04-10	"XBB.1.5.4"	20	"1%"
2023-04-10	"XBB.1.5.47"	4	"0%"
2023-04-10	"XBB.1.5.48"	10	"0%"
2023-04-10	"XBB.1.5.49"	50	"2%"
2023-04-10	"XBB.1.5.50"	26	"1%"
2023-04-10	"XBB.1.5.67"	11	"1%"
2023-04-10	"XBB.1.5.69"	39	"2%"
2023-04-10	"XBB.1.5.7"	21	"1%"
2023-04-10	"XBB.1.5.73"	2	"0%"
2023-04-10	"XBB.1.5.77"	5	"0%"
2023-04-10	"XBB.1.9.1"	64	"3%"
2023-04-10	"XBB.1.9.2"	6	"0%"
2023-04-10	"XBB.2.3"	18	"1%"
2023-04-10	"XBB.2.3.2"	6	"0%"
2023-04-10	"XBB.2.3.3"	2	"0%"
2023-04-10	"XBF"	10	"0%"
2023-04-17	"BQ.1.1"	12	"1%"
2023-04-17	"CH.1.1"	12	"1%"
2023-04-17	"DV.1.1"	20	"1%"
2023-04-17	"EG.1"	14	"1%"
2023-04-17	"EG.5.2"	0	"0%"
2023-04-17	"EU.1.1"	2	"0%"
2023-04-17	"FD.1.1"	74	"4%"
2023-04-17	"FE.1.1.1"	7	"0%"
2023-04-17	"FL.13"	8	"0%"
2023-04-17	"FL.2"	2	"0%"
2023-04-17	"FL.4"	13	"1%"
2023-04-17	"FL.5"	3	"0%"
2023-04-17	"FT.1"	4	"0%"
2023-04-17	"other lineages"	299	"16%"
2023-04-17	"XBB.1.16"	98	"5%"
2023-04-17	"XBB.1.16.1"	8	"0%"
2023-04-17	"XBB.1.16.2"	9	"0%"
2023-04-17	"XBB.1.16.3"	0	"0%"
2023-04-17	"XBB.1.19.1"	3	"0%"
2023-04-17	"XBB.1.5"	721	"38%"
2023-04-17	"XBB.1.5.1"	24	"1%"
2023-04-17	"XBB.1.5.10"	2	"0%"
2023-04-17	"XBB.1.5.12"	15	"1%"
2023-04-17	"XBB.1.5.13"	39	"2%"
2023-04-17	"XBB.1.5.15"	14	"1%"
2023-04-17	"XBB.1.5.17"	21	"1%"
2023-04-17	"XBB.1.5.18"	4	"0%"
2023-04-17	"XBB.1.5.19"	6	"0%"
2023-04-17	"XBB.1.5.2"	32	"2%"
2023-04-17	"XBB.1.5.20"	38	"2%"
2023-04-17	"XBB.1.5.30"	7	"0%"
2023-04-17	"XBB.1.5.31"	21	"1%"
2023-04-17	"XBB.1.5.32"	81	"4%"
2023-04-17	"XBB.1.5.37"	7	"0%"
2023-04-17	"XBB.1.5.39"	11	"1%"
2023-04-17	"XBB.1.5.4"	10	"1%"
2023-04-17	"XBB.1.5.47"	38	"2%"
2023-04-17	"XBB.1.5.48"	3	"0%"
2023-04-17	"XBB.1.5.49"	36	"2%"
2023-04-17	"XBB.1.5.50"	14	"1%"
2023-04-17	"XBB.1.5.67"	17	"1%"
2023-04-17	"XBB.1.5.69"	11	"1%"
2023-04-17	"XBB.1.5.7"	23	"1%"
2023-04-17	"XBB.1.5.73"	3	"0%"
2023-04-17	"XBB.1.5.77"	1	"0%"
2023-04-17	"XBB.1.9.1"	54	"3%"
2023-04-17	"XBB.1.9.2"	7	"0%"
2023-04-17	"XBB.2.3"	16	"1%"
2023-04-17	"XBB.2.3.2"	8	"0%"
2023-04-17	"XBB.2.3.3"	5	"0%"
2023-04-17	"XBF"	12	"1%"
2023-04-24	"BQ.1.1"	6	"0%"
2023-04-24	"CH.1.1"	17	"1%"
2023-04-24	"DV.1.1"	39	"2%"
2023-04-24	"EG.1"	9	"1%"
2023-04-24	"EG.5.2"	1	"0%"
2023-04-24	"EU.1.1"	2	"0%"
2023-04-24	"FD.1.1"	95	"6%"
2023-04-24	"FE.1.1.1"	5	"0%"
2023-04-24	"FL.13"	9	"1%"
2023-04-24	"FL.2"	2	"0%"
2023-04-24	"FL.4"	23	"1%"
2023-04-24	"FL.5"	12	"1%"
2023-04-24	"FT.1"	3	"0%"
2023-04-24	"other lineages"	299	"17%"
2023-04-24	"XBB.1.16"	98	"6%"
2023-04-24	"XBB.1.16.1"	34	"2%"
2023-04-24	"XBB.1.16.2"	14	"1%"
2023-04-24	"XBB.1.16.3"	1	"0%"
2023-04-24	"XBB.1.19.1"	2	"0%"
2023-04-24	"XBB.1.5"	514	"30%"
2023-04-24	"XBB.1.5.1"	37	"2%"
2023-04-24	"XBB.1.5.10"	3	"0%"
2023-04-24	"XBB.1.5.12"	8	"0%"
2023-04-24	"XBB.1.5.13"	27	"2%"
2023-04-24	"XBB.1.5.15"	9	"1%"
2023-04-24	"XBB.1.5.17"	10	"1%"
2023-04-24	"XBB.1.5.18"	8	"0%"
2023-04-24	"XBB.1.5.19"	9	"1%"
2023-04-24	"XBB.1.5.2"	39	"2%"
2023-04-24	"XBB.1.5.20"	25	"1%"
2023-04-24	"XBB.1.5.30"	5	"0%"
2023-04-24	"XBB.1.5.31"	16	"1%"
2023-04-24	"XBB.1.5.32"	80	"5%"
2023-04-24	"XBB.1.5.37"	4	"0%"
2023-04-24	"XBB.1.5.39"	11	"1%"
2023-04-24	"XBB.1.5.4"	12	"1%"
2023-04-24	"XBB.1.5.47"	19	"1%"
2023-04-24	"XBB.1.5.48"	0	"0%"
2023-04-24	"XBB.1.5.49"	33	"2%"
2023-04-24	"XBB.1.5.50"	17	"1%"
2023-04-24	"XBB.1.5.67"	21	"1%"
2023-04-24	"XBB.1.5.69"	12	"1%"
2023-04-24	"XBB.1.5.7"	6	"0%"
2023-04-24	"XBB.1.5.73"	3	"0%"
2023-04-24	"XBB.1.5.77"	4	"0%"
2023-04-24	"XBB.1.9.1"	64	"4%"
2023-04-24	"XBB.1.9.2"	10	"1%"
2023-04-24	"XBB.2.3"	11	"1%"
2023-04-24	"XBB.2.3.2"	19	"1%"
2023-04-24	"XBB.2.3.3"	13	"1%"
2023-04-24	"XBF"	6	"0%"
2023-05-01	"BQ.1.1"	7	"0%"
2023-05-01	"CH.1.1"	19	"1%"
2023-05-01	"DV.1.1"	35	"2%"
2023-05-01	"EG.1"	7	"0%"
2023-05-01	"EG.5.2"	6	"0%"
2023-05-01	"EU.1.1"	6	"0%"
2023-05-01	"FD.1.1"	103	"6%"
2023-05-01	"FE.1.1.1"	3	"0%"
2023-05-01	"FL.13"	8	"0%"
2023-05-01	"FL.2"	3	"0%"
2023-05-01	"FL.4"	41	"2%"
2023-05-01	"FL.5"	31	"2%"
2023-05-01	"FT.1"	1	"0%"
2023-05-01	"other lineages"	253	"14%"
2023-05-01	"XBB.1.16"	154	"9%"
2023-05-01	"XBB.1.16.1"	44	"3%"
2023-05-01	"XBB.1.16.2"	12	"1%"
2023-05-01	"XBB.1.16.3"	39	"2%"
2023-05-01	"XBB.1.19.1"	3	"0%"
2023-05-01	"XBB.1.5"	542	"31%"
2023-05-01	"XBB.1.5.1"	54	"3%"
2023-05-01	"XBB.1.5.10"	4	"0%"
2023-05-01	"XBB.1.5.12"	8	"0%"
2023-05-01	"XBB.1.5.13"	22	"1%"
2023-05-01	"XBB.1.5.15"	9	"1%"
2023-05-01	"XBB.1.5.17"	3	"0%"
2023-05-01	"XBB.1.5.18"	5	"0%"
2023-05-01	"XBB.1.5.19"	8	"0%"
2023-05-01	"XBB.1.5.2"	19	"1%"
2023-05-01	"XBB.1.5.20"	18	"1%"
2023-05-01	"XBB.1.5.30"	5	"0%"
2023-05-01	"XBB.1.5.31"	17	"1%"
2023-05-01	"XBB.1.5.32"	59	"3%"
2023-05-01	"XBB.1.5.37"	9	"1%"
2023-05-01	"XBB.1.5.39"	9	"1%"
2023-05-01	"XBB.1.5.4"	5	"0%"
2023-05-01	"XBB.1.5.47"	11	"1%"
2023-05-01	"XBB.1.5.48"	0	"0%"
2023-05-01	"XBB.1.5.49"	25	"1%"
2023-05-01	"XBB.1.5.50"	17	"1%"
2023-05-01	"XBB.1.5.67"	11	"1%"
2023-05-01	"XBB.1.5.69"	6	"0%"
2023-05-01	"XBB.1.5.7"	5	"0%"
2023-05-01	"XBB.1.5.73"	10	"1%"
2023-05-01	"XBB.1.5.77"	2	"0%"
2023-05-01	"XBB.1.9.1"	43	"2%"
2023-05-01	"XBB.1.9.2"	16	"1%"
2023-05-01	"XBB.2.3"	10	"1%"
2023-05-01	"XBB.2.3.2"	14	"1%"
2023-05-01	"XBB.2.3.3"	8	"0%"
2023-05-01	"XBF"	4	"0%"
2023-05-08	"BQ.1.1"	2	"0%"
2023-05-08	"CH.1.1"	4	"0%"
2023-05-08	"DV.1.1"	16	"1%"
2023-05-08	"EG.1"	13	"1%"
2023-05-08	"EG.5.2"	22	"1%"
2023-05-08	"EU.1.1"	19	"1%"
2023-05-08	"FD.1.1"	94	"6%"
2023-05-08	"FE.1.1.1"	7	"0%"
2023-05-08	"FL.13"	12	"1%"
2023-05-08	"FL.2"	6	"0%"
2023-05-08	"FL.4"	24	"2%"
2023-05-08	"FL.5"	22	"1%"
2023-05-08	"FT.1"	2	"0%"
2023-05-08	"other lineages"	258	"16%"
2023-05-08	"XBB.1.16"	143	"9%"
2023-05-08	"XBB.1.16.1"	32	"2%"
2023-05-08	"XBB.1.16.2"	18	"1%"
2023-05-08	"XBB.1.16.3"	24	"2%"
2023-05-08	"XBB.1.19.1"	1	"0%"
2023-05-08	"XBB.1.5"	477	"30%"
2023-05-08	"XBB.1.5.1"	22	"1%"
2023-05-08	"XBB.1.5.10"	2	"0%"
2023-05-08	"XBB.1.5.12"	1	"0%"
2023-05-08	"XBB.1.5.13"	27	"2%"
2023-05-08	"XBB.1.5.15"	21	"1%"
2023-05-08	"XBB.1.5.17"	10	"1%"
2023-05-08	"XBB.1.5.18"	3	"0%"
2023-05-08	"XBB.1.5.19"	4	"0%"
2023-05-08	"XBB.1.5.2"	12	"1%"
2023-05-08	"XBB.1.5.20"	15	"1%"
2023-05-08	"XBB.1.5.30"	4	"0%"
2023-05-08	"XBB.1.5.31"	7	"0%"
2023-05-08	"XBB.1.5.32"	35	"2%"
2023-05-08	"XBB.1.5.37"	4	"0%"
2023-05-08	"XBB.1.5.39"	12	"1%"
2023-05-08	"XBB.1.5.4"	10	"1%"
2023-05-08	"XBB.1.5.47"	13	"1%"
2023-05-08	"XBB.1.5.48"	0	"0%"
2023-05-08	"XBB.1.5.49"	24	"2%"
2023-05-08	"XBB.1.5.50"	21	"1%"
2023-05-08	"XBB.1.5.67"	3	"0%"
2023-05-08	"XBB.1.5.69"	3	"0%"
2023-05-08	"XBB.1.5.7"	4	"0%"
2023-05-08	"XBB.1.5.73"	6	"0%"
2023-05-08	"XBB.1.5.77"	2	"0%"
2023-05-08	"XBB.1.9.1"	52	"3%"
2023-05-08	"XBB.1.9.2"	18	"1%"
2023-05-08	"XBB.2.3"	16	"1%"
2023-05-08	"XBB.2.3.2"	11	"1%"
2023-05-08	"XBB.2.3.3"	11	"1%"
2023-05-08	"XBF"	2	"0%"
2023-05-15	"BQ.1.1"	0	"0%"
2023-05-15	"CH.1.1"	0	"0%"
2023-05-15	"DV.1.1"	13	"1%"
2023-05-15	"EG.1"	29	"2%"
2023-05-15	"EG.5.2"	15	"1%"
2023-05-15	"EU.1.1"	6	"0%"
2023-05-15	"FD.1.1"	130	"10%"
2023-05-15	"FE.1.1.1"	2	"0%"
2023-05-15	"FL.13"	8	"1%"
2023-05-15	"FL.2"	15	"1%"
2023-05-15	"FL.4"	32	"2%"
2023-05-15	"FL.5"	27	"2%"
2023-05-15	"FT.1"	0	"0%"
2023-05-15	"other lineages"	228	"17%"
2023-05-15	"XBB.1.16"	169	"12%"
2023-05-15	"XBB.1.16.1"	22	"2%"
2023-05-15	"XBB.1.16.2"	18	"1%"
2023-05-15	"XBB.1.16.3"	1	"0%"
2023-05-15	"XBB.1.19.1"	2	"0%"
2023-05-15	"XBB.1.5"	291	"21%"
2023-05-15	"XBB.1.5.1"	15	"1%"
2023-05-15	"XBB.1.5.10"	2	"0%"
2023-05-15	"XBB.1.5.12"	3	"0%"
2023-05-15	"XBB.1.5.13"	11	"1%"
2023-05-15	"XBB.1.5.15"	11	"1%"
2023-05-15	"XBB.1.5.17"	6	"0%"
2023-05-15	"XBB.1.5.18"	1	"0%"
2023-05-15	"XBB.1.5.19"	6	"0%"
2023-05-15	"XBB.1.5.2"	11	"1%"
2023-05-15	"XBB.1.5.20"	16	"1%"
2023-05-15	"XBB.1.5.30"	4	"0%"
2023-05-15	"XBB.1.5.31"	0	"0%"
2023-05-15	"XBB.1.5.32"	28	"2%"
2023-05-15	"XBB.1.5.37"	27	"2%"
2023-05-15	"XBB.1.5.39"	8	"1%"
2023-05-15	"XBB.1.5.4"	9	"1%"
2023-05-15	"XBB.1.5.47"	3	"0%"
2023-05-15	"XBB.1.5.48"	0	"0%"
2023-05-15	"XBB.1.5.49"	15	"1%"
2023-05-15	"XBB.1.5.50"	13	"1%"
2023-05-15	"XBB.1.5.67"	6	"0%"
2023-05-15	"XBB.1.5.69"	2	"0%"
2023-05-15	"XBB.1.5.7"	15	"1%"
2023-05-15	"XBB.1.5.73"	10	"1%"
2023-05-15	"XBB.1.5.77"	4	"0%"
2023-05-15	"XBB.1.9.1"	79	"6%"
2023-05-15	"XBB.1.9.2"	19	"1%"
2023-05-15	"XBB.2.3"	5	"0%"
2023-05-15	"XBB.2.3.2"	12	"1%"
2023-05-15	"XBB.2.3.3"	6	"0%"
2023-05-15	"XBF"	2	"0%"
2023-05-22	"BQ.1.1"	0	"0%"
2023-05-22	"CH.1.1"	0	"0%"
2023-05-22	"DV.1.1"	8	"1%"
2023-05-22	"EG.1"	12	"1%"
2023-05-22	"EG.5.2"	9	"1%"
2023-05-22	"EU.1.1"	3	"0%"
2023-05-22	"FD.1.1"	101	"9%"
2023-05-22	"FE.1.1.1"	11	"1%"
2023-05-22	"FL.13"	7	"1%"
2023-05-22	"FL.2"	8	"1%"
2023-05-22	"FL.4"	27	"2%"
2023-05-22	"FL.5"	40	"3%"
2023-05-22	"FT.1"	0	"0%"
2023-05-22	"other lineages"	245	"21%"
2023-05-22	"XBB.1.16"	180	"15%"
2023-05-22	"XBB.1.16.1"	40	"3%"
2023-05-22	"XBB.1.16.2"	13	"1%"
2023-05-22	"XBB.1.16.3"	2	"0%"
2023-05-22	"XBB.1.19.1"	1	"0%"
2023-05-22	"XBB.1.5"	200	"17%"
2023-05-22	"XBB.1.5.1"	15	"1%"
2023-05-22	"XBB.1.5.10"	6	"1%"
2023-05-22	"XBB.1.5.12"	6	"1%"
2023-05-22	"XBB.1.5.13"	8	"1%"
2023-05-22	"XBB.1.5.15"	6	"1%"
2023-05-22	"XBB.1.5.17"	6	"1%"
2023-05-22	"XBB.1.5.18"	1	"0%"
2023-05-22	"XBB.1.5.19"	3	"0%"
2023-05-22	"XBB.1.5.2"	4	"0%"
2023-05-22	"XBB.1.5.20"	4	"0%"
2023-05-22	"XBB.1.5.30"	5	"0%"
2023-05-22	"XBB.1.5.31"	1	"0%"
2023-05-22	"XBB.1.5.32"	12	"1%"
2023-05-22	"XBB.1.5.37"	10	"1%"
2023-05-22	"XBB.1.5.39"	14	"1%"
2023-05-22	"XBB.1.5.4"	9	"1%"
2023-05-22	"XBB.1.5.47"	0	"0%"
2023-05-22	"XBB.1.5.48"	0	"0%"
2023-05-22	"XBB.1.5.49"	24	"2%"
2023-05-22	"XBB.1.5.50"	3	"0%"
2023-05-22	"XBB.1.5.67"	1	"0%"
2023-05-22	"XBB.1.5.69"	0	"0%"
2023-05-22	"XBB.1.5.7"	18	"2%"
2023-05-22	"XBB.1.5.73"	3	"0%"
2023-05-22	"XBB.1.5.77"	3	"0%"
2023-05-22	"XBB.1.9.1"	33	"3%"
2023-05-22	"XBB.1.9.2"	30	"3%"
2023-05-22	"XBB.2.3"	21	"2%"
2023-05-22	"XBB.2.3.2"	9	"1%"
2023-05-22	"XBB.2.3.3"	6	"1%"
2023-05-22	"XBF"	0	"0%"
2023-05-29	"BQ.1.1"	0	"0%"
2023-05-29	"CH.1.1"	2	"0%"
2023-05-29	"DV.1.1"	7	"1%"
2023-05-29	"EG.1"	19	"2%"
2023-05-29	"EG.5.2"	0	"0%"
2023-05-29	"EU.1.1"	3	"0%"
2023-05-29	"FD.1.1"	83	"8%"
2023-05-29	"FE.1.1.1"	9	"1%"
2023-05-29	"FL.13"	2	"0%"
2023-05-29	"FL.2"	5	"0%"
2023-05-29	"FL.4"	39	"4%"
2023-05-29	"FL.5"	17	"2%"
2023-05-29	"FT.1"	0	"0%"
2023-05-29	"other lineages"	259	"25%"
2023-05-29	"XBB.1.16"	153	"15%"
2023-05-29	"XBB.1.16.1"	20	"2%"
2023-05-29	"XBB.1.16.2"	11	"1%"
2023-05-29	"XBB.1.16.3"	3	"0%"
2023-05-29	"XBB.1.19.1"	1	"0%"
2023-05-29	"XBB.1.5"	182	"18%"
2023-05-29	"XBB.1.5.1"	7	"1%"
2023-05-29	"XBB.1.5.10"	4	"0%"
2023-05-29	"XBB.1.5.12"	2	"0%"
2023-05-29	"XBB.1.5.13"	12	"1%"
2023-05-29	"XBB.1.5.15"	4	"0%"
2023-05-29	"XBB.1.5.17"	8	"1%"
2023-05-29	"XBB.1.5.18"	3	"0%"
2023-05-29	"XBB.1.5.19"	1	"0%"
2023-05-29	"XBB.1.5.2"	4	"0%"
2023-05-29	"XBB.1.5.20"	2	"0%"
2023-05-29	"XBB.1.5.30"	0	"0%"
2023-05-29	"XBB.1.5.31"	2	"0%"
2023-05-29	"XBB.1.5.32"	8	"1%"
2023-05-29	"XBB.1.5.37"	2	"0%"
2023-05-29	"XBB.1.5.39"	12	"1%"
2023-05-29	"XBB.1.5.4"	2	"0%"
2023-05-29	"XBB.1.5.47"	0	"0%"
2023-05-29	"XBB.1.5.48"	0	"0%"
2023-05-29	"XBB.1.5.49"	17	"2%"
2023-05-29	"XBB.1.5.50"	3	"0%"
2023-05-29	"XBB.1.5.67"	0	"0%"
2023-05-29	"XBB.1.5.69"	0	"0%"
2023-05-29	"XBB.1.5.7"	8	"1%"
2023-05-29	"XBB.1.5.73"	0	"0%"
2023-05-29	"XBB.1.5.77"	13	"1%"
2023-05-29	"XBB.1.9.1"	43	"4%"
2023-05-29	"XBB.1.9.2"	26	"3%"
2023-05-29	"XBB.2.3"	11	"1%"
2023-05-29	"XBB.2.3.2"	7	"1%"
2023-05-29	"XBB.2.3.3"	6	"1%"
2023-05-29	"XBF"	0	"0%"
2023-06-05	"BQ.1.1"	0	"0%"
2023-06-05	"CH.1.1"	0	"0%"
2023-06-05	"DV.1.1"	1	"0%"
