pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
99,Repatriated travellers,Voyageurs rapatriés,2020-02-08,6,2020,,0,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-02-08,6,2020,,8,4,0.02,0,0,0.0,0.01,0.00,5,0,0.01,0,0.57,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-15,7,2020,1.0,4,0,0.08,0,0,0.0,0.00,0.00,3,0,0.06,0,0.00,0.00,0.00,0.00
48,Alberta,Alberta,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
46,Manitoba,Manitoba,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-15,7,2020,1.0,4,0,0.03,0,0,0.0,0.00,0.00,1,0,0.01,0,0.00,0.00,0.00,0.00
24,Quebec,Québec,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
60,Yukon,Yukon,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
62,Nunavut,Nunavut,2020-02-15,7,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-02-15,7,2020,,0,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-02-15,7,2020,,8,0,0.02,0,0,0.0,0.00,0.00,4,0,0.01,0,0.00,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-22,8,2020,1.0,6,2,0.11,0,0,0.0,0.04,0.00,2,0,0.04,0,0.29,0.01,0.00,0.00
48,Alberta,Alberta,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
46,Manitoba,Manitoba,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-22,8,2020,1.0,5,1,0.03,0,0,0.0,0.01,0.00,1,0,0.01,0,0.14,0.00,0.00,0.00
24,Quebec,Québec,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
60,Yukon,Yukon,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
62,Nunavut,Nunavut,2020-02-22,8,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-02-22,8,2020,,0,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-02-22,8,2020,,11,3,0.03,0,0,0.0,0.01,0.00,3,0,0.01,0,0.43,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-29,9,2020,1.0,7,1,0.13,0,0,0.0,0.02,0.00,3,0,0.06,0,0.14,0.00,0.00,0.00
48,Alberta,Alberta,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
46,Manitoba,Manitoba,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-29,9,2020,1.0,18,13,0.12,0,0,0.0,0.09,0.00,14,0,0.09,0,1.86,0.01,0.00,0.00
24,Quebec,Québec,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
60,Yukon,Yukon,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
62,Nunavut,Nunavut,2020-02-29,9,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-02-29,9,2020,,0,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-02-29,9,2020,,25,14,0.06,0,0,0.0,0.04,0.00,17,0,0.04,0,2.00,0.01,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-03-07,10,2020,1.0,27,20,0.51,0,0,0.0,0.38,0.00,21,0,0.39,0,2.86,0.05,0.00,0.00
48,Alberta,Alberta,2020-03-07,10,2020,1.0,2,2,0.04,0,0,0.0,0.04,0.00,2,0,0.04,0,0.29,0.01,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
46,Manitoba,Manitoba,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-03-07,10,2020,1.0,33,15,0.22,0,0,0.0,0.10,0.00,28,0,0.19,0,2.14,0.01,0.00,0.00
24,Quebec,Québec,2020-03-07,10,2020,1.0,1,1,0.01,0,0,0.0,0.01,0.00,1,0,0.01,0,0.14,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
60,Yukon,Yukon,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
62,Nunavut,Nunavut,2020-03-07,10,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-07,10,2020,,0,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-03-07,10,2020,,63,38,0.16,0,0,0.0,0.10,0.00,52,0,0.13,0,5.43,0.01,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-03-14,11,2020,1.0,64,37,1.2,1,1,0.02,0.70,0.02,57,1,1.07,0.02,5.29,0.10,0.14,0.00
48,Alberta,Alberta,2020-03-14,11,2020,1.0,56,54,1.23,0,0,0.0,1.19,0.00,56,0,1.23,0,7.71,0.17,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-03-14,11,2020,1.0,2,2,0.17,0,0,0.0,0.17,0.00,2,0,0.17,0,0.29,0.02,0.00,0.00
46,Manitoba,Manitoba,2020-03-14,11,2020,1.0,4,4,0.28,0,0,0.0,0.28,0.00,4,0,0.28,0,0.57,0.04,0.00,0.00
35,Ontario,Ontario,2020-03-14,11,2020,1.0,181,148,1.2,1,1,0.01,0.98,0.01,163,1,1.08,0.01,21.14,0.14,0.14,0.00
24,Quebec,Québec,2020-03-14,11,2020,1.0,7,6,0.08,1,1,0.01,0.07,0.01,7,1,0.08,0.01,0.86,0.01,0.14,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-14,11,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-14,11,2020,1.0,2,2,0.25,0,0,0.0,0.25,0.00,2,0,0.25,0,0.29,0.04,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-14,11,2020,1.0,2,2,0.2,0,0,0.0,0.20,0.00,2,0,0.2,0,0.31,0.03,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-14,11,2020,1.0,1,1,0.59,0,0,0.0,0.59,0.00,1,0,0.59,0,0.08,0.05,0.00,0.00
60,Yukon,Yukon,2020-03-14,11,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-14,11,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
62,Nunavut,Nunavut,2020-03-14,11,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-14,11,2020,,2,2,,0,0,,,,2,0,,,0.29,,0.00,
1,Canada,Canada,2020-03-14,11,2020,,321,258,0.82,3,3,0.01,0.66,0.01,296,3,0.76,0.01,36.86,0.09,0.43,0.00
59,British Columbia,Colombie-Britannique,2020-03-21,12,2020,1.0,424,360,7.97,10,9,0.19,6.77,0.17,397,10,7.46,0.19,51.43,0.97,1.29,0.02
48,Alberta,Alberta,2020-03-21,12,2020,1.0,244,188,5.37,1,1,0.02,4.14,0.02,242,1,5.33,0.02,26.86,0.59,0.14,0.00
47,Saskatchewan,Saskatchewan,2020-03-21,12,2020,1.0,44,42,3.68,0,0,0.0,3.52,0.00,44,0,3.68,0,6.00,0.50,0.00,0.00
46,Manitoba,Manitoba,2020-03-21,12,2020,1.0,19,15,1.35,0,0,0.0,1.06,0.00,19,0,1.35,0,2.14,0.15,0.00,0.00
35,Ontario,Ontario,2020-03-21,12,2020,1.0,628,447,4.16,2,1,0.01,2.96,0.01,595,2,3.94,0.01,63.86,0.42,0.14,0.00
24,Quebec,Québec,2020-03-21,12,2020,1.0,288,281,3.31,5,4,0.06,3.23,0.05,287,5,3.3,0.06,40.14,0.46,0.57,0.01
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-21,12,2020,1.0,6,6,1.14,0,0,0.0,1.14,0.00,6,0,1.14,0,0.86,0.16,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-21,12,2020,1.0,17,15,2.09,0,0,0.0,1.85,0.00,17,0,2.09,0,2.14,0.26,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-21,12,2020,1.0,30,28,2.94,0,0,0.0,2.75,0.00,30,0,2.94,0,4.00,0.39,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-21,12,2020,1.0,2,2,1.17,0,0,0.0,1.17,0.00,3,0,1.76,0,0.22,0.13,0.00,0.00
60,Yukon,Yukon,2020-03-21,12,2020,1.0,1,1,2.28,0,0,0.0,2.28,0.00,1,0,2.28,0,0.10,0.22,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-21,12,2020,1.0,1,1,2.19,0,0,0.0,2.19,0.00,1,0,2.19,0,0.10,0.22,0.00,0.00
62,Nunavut,Nunavut,2020-03-21,12,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-21,12,2020,,13,11,,0,0,,,,13,0,,,1.57,,0.00,
1,Canada,Canada,2020-03-21,12,2020,,1717,1397,4.41,18,15,0.05,3.59,0.04,1655,18,4.25,0.05,199.57,0.51,2.14,0.01
59,British Columbia,Colombie-Britannique,2020-03-28,13,2020,1.0,884,460,16.62,16,6,0.3,8.65,0.11,820,15,15.42,0.28,65.71,1.24,0.86,0.02
48,Alberta,Alberta,2020-03-28,13,2020,1.0,666,422,14.66,1,0,0.02,9.29,0.00,610,1,13.43,0.02,60.29,1.33,0.00,0.00
47,Saskatchewan,Saskatchewan,2020-03-28,13,2020,1.0,134,90,11.22,0,0,0.0,7.53,0.00,132,0,11.05,0,12.86,1.08,0.00,0.00
46,Manitoba,Manitoba,2020-03-28,13,2020,1.0,64,45,4.54,1,1,0.07,3.19,0.07,60,1,4.26,0.07,6.43,0.46,0.14,0.01
35,Ontario,Ontario,2020-03-28,13,2020,1.0,1955,1327,12.94,29,27,0.19,8.78,0.18,1774,28,11.74,0.19,189.57,1.25,3.86,0.03
24,Quebec,Québec,2020-03-28,13,2020,1.0,2368,2080,27.23,41,36,0.47,23.92,0.41,2361,40,27.15,0.46,297.14,3.42,5.14,0.06
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-28,13,2020,1.0,120,114,22.81,0,0,0.0,21.67,0.00,120,0,22.81,0,16.29,3.10,0.06,0.01
13,New Brunswick,Nouveau-Brunswick,2020-03-28,13,2020,1.0,51,34,6.28,0,0,0.0,4.19,0.00,49,0,6.03,0,4.86,0.60,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-28,13,2020,1.0,102,72,10.0,0,0,0.0,7.06,0.00,100,0,9.81,0,10.33,1.01,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-28,13,2020,1.0,13,11,7.62,0,0,0.0,6.44,0.00,13,0,7.62,0,1.59,0.93,0.00,0.00
60,Yukon,Yukon,2020-03-28,13,2020,1.0,4,3,9.13,0,0,0.0,6.85,0.00,4,0,9.13,0,0.43,0.98,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-28,13,2020,1.0,1,0,2.19,0,0,0.0,0.00,0.00,1,0,2.19,0,0.04,0.09,0.00,0.00
62,Nunavut,Nunavut,2020-03-28,13,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-28,13,2020,,13,0,,0,0,,,,11,0,,,0.00,,0.00,
1,Canada,Canada,2020-03-28,13,2020,,6375,4658,16.38,88,70,0.23,11.97,0.18,6055,85,15.55,0.22,665.43,1.71,10.00,0.03
59,British Columbia,Colombie-Britannique,2020-04-04,14,2020,1.0,1203,319,22.62,38,22,0.71,6.00,0.41,779,28,14.64,0.53,45.57,0.86,3.14,0.06
48,Alberta,Alberta,2020-04-04,14,2020,1.0,1232,566,27.12,23,22,0.51,12.46,0.48,988,22,21.75,0.48,80.86,1.78,3.14,0.07
47,Saskatchewan,Saskatchewan,2020-04-04,14,2020,1.0,231,97,19.33,3,3,0.25,8.12,0.25,187,3,15.65,0.25,13.86,1.16,0.43,0.04
46,Manitoba,Manitoba,2020-04-04,14,2020,1.0,194,130,13.77,2,1,0.14,9.22,0.07,175,2,12.42,0.14,18.57,1.32,0.14,0.01
35,Ontario,Ontario,2020-04-04,14,2020,1.0,4753,2798,31.46,176,147,1.16,18.52,0.97,4125,174,27.3,1.15,399.71,2.65,21.00,0.14
24,Quebec,Québec,2020-04-04,14,2020,1.0,6749,4381,77.61,188,147,2.16,50.38,1.69,6461,183,74.3,2.1,625.86,7.20,21.00,0.24
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-04,14,2020,1.0,195,75,37.07,1,1,0.19,14.26,0.19,189,1,35.93,0.19,10.71,2.04,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2020-04-04,14,2020,1.0,98,47,12.07,0,0,0.0,5.79,0.00,81,0,9.97,0,6.71,0.83,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-04,14,2020,1.0,246,143,24.12,0,0,0.0,14.02,0.00,215,0,21.08,0,20.45,2.01,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-04,14,2020,1.0,22,8,12.89,0,0,0.0,4.69,0.00,19,0,11.13,0,1.18,0.69,0.00,0.00
60,Yukon,Yukon,2020-04-04,14,2020,1.0,6,3,13.7,0,0,0.0,6.85,0.00,6,0,13.7,0,0.38,0.87,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-04,14,2020,1.0,4,3,8.77,0,0,0.0,6.58,0.00,3,0,6.58,0,0.41,0.89,0.00,0.00
62,Nunavut,Nunavut,2020-04-04,14,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-04,14,2020,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-04-04,14,2020,,14946,8570,38.39,431,343,1.11,22.01,0.88,13228,413,33.98,1.06,1224.29,3.14,49.00,0.13
59,British Columbia,Colombie-Britannique,2020-04-11,15,2020,1.0,1445,242,27.17,58,20,1.09,4.55,0.38,561,42,10.55,0.79,34.57,0.65,2.86,0.05
48,Alberta,Alberta,2020-04-11,15,2020,1.0,1553,321,34.18,45,22,0.99,7.07,0.48,887,44,19.52,0.97,45.86,1.01,3.14,0.07
47,Saskatchewan,Saskatchewan,2020-04-11,15,2020,1.0,289,58,24.19,4,1,0.33,4.85,0.08,155,4,12.97,0.33,8.29,0.69,0.14,0.01
46,Manitoba,Manitoba,2020-04-11,15,2020,1.0,242,48,17.17,4,2,0.28,3.41,0.14,178,3,12.63,0.21,6.86,0.49,0.29,0.02
35,Ontario,Ontario,2020-04-11,15,2020,1.0,7921,3168,52.42,430,254,2.85,20.97,1.68,5966,401,39.49,2.65,452.57,3.00,36.29,0.24
24,Quebec,Québec,2020-04-11,15,2020,1.0,11263,4514,129.52,581,393,6.68,51.91,4.52,8895,540,102.29,6.21,644.86,7.42,56.14,0.65
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-11,15,2020,1.0,241,46,45.82,2,1,0.38,8.75,0.19,121,2,23.01,0.38,6.57,1.25,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2020-04-11,15,2020,1.0,112,14,13.79,0,0,0.0,1.72,0.00,61,0,7.51,0,2.00,0.25,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-11,15,2020,1.0,422,177,41.38,2,2,0.2,17.36,0.20,320,2,31.38,0.2,25.24,2.48,0.31,0.03
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-11,15,2020,1.0,24,2,14.06,0,0,0.0,1.17,0.00,10,0,5.86,0,0.31,0.18,0.00,0.00
60,Yukon,Yukon,2020-04-11,15,2020,1.0,8,2,18.27,0,0,0.0,4.57,0.00,5,0,11.42,0,0.24,0.54,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-11,15,2020,1.0,5,1,10.96,0,0,0.0,2.19,0.00,4,0,8.77,0,0.16,0.36,0.00,0.00
62,Nunavut,Nunavut,2020-04-11,15,2020,1.0,0,0,0.0,0,0,0.0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-11,15,2020,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2020-04-11,15,2020,,23538,8593,60.46,1126,695,2.89,22.07,1.79,17163,1038,44.09,2.67,1227.57,3.15,99.29,0.26
59,British Columbia,Colombie-Britannique,2020-04-18,16,2020,1.0,1618,173,30.42,78,20,1.47,3.25,0.38,415,40,7.8,0.75,24.71,0.46,2.86,0.05
48,Alberta,Alberta,2020-04-18,16,2020,1.0,2495,942,54.92,57,12,1.25,20.73,0.26,1263,34,27.8,0.75,134.57,2.96,1.71,0.04
